entryNumber,creatureName,probableType,flags,rawSnippet
1,"Ape, carnivorous",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 1. Ape, carnivorous

*These creatures’ vital stats are HD 4d10, HP 23, AC 15, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 23, AC 15, Disposition neutral
"
2,"Bandit",classed,"attributes-physical-phrase","### 2. Bandit

*This creature’s vital stats are HP 4, AC 13, disposition neutral/evil. Their primary attributes are physical. He carries 6 silver in coin.*

**Core Stats:** HP 4, AC 13, Disposition neutral/evil
"
3,"Bandit, Lieutenant",classed,"attributes-physical-phrase","### 3. Bandit, Lieutenant

*This creature’s vital stats are HP 14, AC 14, disposition neutral/evil. Their primary attributes are physical. He carries 6 gold in coin.*

**Core Stats:** HP 14, AC 14, Disposition neutral/evil
"
4,"Bat, giant cave",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 4. Bat, giant cave

*These creatures’ vital stats are HD 1d2, HP 1, AC 12, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 1, AC 12, Disposition neutral
"
5,"Batrachianoid",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 5. **Batrachianoid*:** _

*This creature’s vital stats are HD 1d8, HP 5, AC 14, disposition chaos/evil. Their primary attributes are physical. He carries 6 copper in coin.*

**Core Stats:** HP 5, AC 14, Disposition chaos/evil
"
6,"Bear, black",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 6. Bear, black

*This creature’s vital stats are HD 3d8, HP 15, AC 13, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 15, AC 13, Disposition neutral
"
7,"Boar, wild",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 7. Boar, wild

*This creature’s vital stats are HD 2d8, HP 8, AC 16, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 8, AC 16, Disposition neutral
"
8,"Brigand, crossbowmen",classed,"attributes-physical-phrase","### 8. Brigand, crossbowmen

*This creature’s vital stats are HP 5, AC 13, disposition neutral/evil. Their primary attributes are physical. He carries 6 gold in coin.*

**Core Stats:** HP 5, AC 13, Disposition neutral/evil
"
9,"Brigand, flailmen",classed,"attributes-physical-phrase","### 9. Brigand, flailmen

*This creature’s vital stats are HP 5, AC 14, disposition neutral/evil. Their primary attributes are physical. He carries 6 silver in coin.*

**Core Stats:** HP 5, AC 14, Disposition neutral/evil
"
10,"Brigand, Serjeant",classed,"attributes-physical-phrase","### 10. Brigand, Serjeant

*This creature’s vital stats are HP 14, AC 15, disposition neutral/evil. Their primary attributes are physical. He carries 8 gold in coin.*

**Core Stats:** HP 14, AC 15, Disposition neutral/evil
"
11,"Bugbear",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 11. Bugbear

*This creature’s vital stats are HD 3d10, HP 16, AC 16, disposition chaos/evil. Their primary attributes are physical. He carries 4 gold in coin.*

**Core Stats:** HP 16, AC 16, Disposition chaos/evil
"
12,"Elf, Wood, bowman",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 12. Elf, Wood, bowman

*This creature’s vital stats are HD 1d10, HP 8, AC 12, disposition chaos/neutral. Their primary attributes are physical. He carries 18 silver in coin.*

**Core Stats:** HP 8, AC 12, Disposition chaos/neutral
"
13,"Elf, Wood, spearman",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 13. Elf, Wood, spearman

*This creature’s vital stats are HD 1d10, HP 8, AC 13, disposition chaos/neutral. Their primary attributes are physical. He carries 12 silver in coin.*

**Core Stats:** HP 8, AC 13, Disposition chaos/neutral
"
14,"Elf, Wood, swordsman",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 14. Elf, Wood, swordsman

*This creature’s vital stats are HD 1d10, HP 5, AC 14, disposition chaos/neutral. Their primary attributes are physical. He carries 2–12 gold in coin.*

**Core Stats:** HP 5, AC 14, Disposition chaos/neutral
"
15,"Ghoul",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 15. Ghoul

*This creature’s vital stats are HD 2d8, HP 10, AC 14, disposition chaos/evil. Their primary attributes are physical.*

**Core Stats:** HP 10, AC 14, Disposition chaos/evil
"
16,"Gnoll",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 16. Gnoll

*This creature’s vital stats are HD 2d10, HP 13, AC 15, disposition chaos/evil. Their primary attributes are physical. He carries 4 gold in coin.*

**Core Stats:** HP 13, AC 15, Disposition chaos/evil
"
17,"Goblin, raider",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 17. Goblin, raider

*This creature’s vital stats are HD 1d6, HP 4, AC 14, disposition law/evil. Their primary attributes are physical. He carries 6 silver in coin.*

**Core Stats:** HP 4, AC 14, Disposition law/evil
"
18,"Goblin, leader (corporal)",classed,"raw-hd-and-hp;attributes-physical-phrase","### 18. Goblin, leader (corporal)

*This creature’s vital stats are HD 3d6+2, HP 15, AC 16, disposition law/evil. Their primary attributes are physical. He carries 4 gold in coin.*

**Core Stats:** HP 15, AC 16, Disposition law/evil
"
19,"Griffon",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 19. Griffon

*These creatures’ vital stats are HD 7d10, HP 45, AC 17, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 45, AC 17, Disposition neutral
"
20,"Hobgoblin",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 20. Hobgoblin

*This creature’s vital stats are HD 1d10, HP 8, AC 15, disposition law/evil. Their primary attributes are physical. He carries 4 silver in coin.*

**Core Stats:** HP 8, AC 15, Disposition law/evil
"
21,"Kobold",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 21. Kobold

*This creature’s vital stats are HD 1d4, HP 3, AC 15, disposition law/evil. Their primary attributes are physical. He carries 6 silver in coin.*

**Core Stats:** HP 3, AC 15, Disposition law/evil
"
22,"Lion (mountain, forest)",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 22. Lion (mountain, forest)

*These creatures’ vital stats are HD 4d8, HP 20, AC 16, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 20, AC 16, Disposition neutral
"
23,"Lizardfolk",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 23. Lizardfolk

*This creature’s vital stats are HD 2d8, HP 10, AC 15, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 10, AC 15, Disposition neutral
"
24,"Losel",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 24. **Losel*:** _

*This creature’s vital stats are HD 1d8+4, HP 10, AC 14, disposition neutral/evil. Their primary attributes are physical.*

**Core Stats:** HP 10, AC 14, Disposition neutral/evil
"
25,"(fisherman/hunter/trapper/woodcutter)",classed,"attributes-physical-phrase","### 25. (fisherman/hunter/trapper/woodcutter)

*This creature’s vital stats are HP 5, AC 12, disposition neutral. Their primary attributes are physical. He carries 6 silver in coin.*

**Core Stats:** HP 5, AC 12, Disposition neutral
"
26,"Naga, Water",ambiguous,"HP+HD;weird-level-format;raw-hd-and-hp;attributes-physical-phrase","### 26. Naga, Water

*This creature’s vital stats are HD 7d8, HP 35, AC 15, disposition neutral. Their primary attributes are physical. He carries spells as a 7th level wizard, focusing on spells that promote protection, escape, such as Dimensional Leap, invisibility, medium steel shield, Teleportation, and etc.*

**Core Stats:** HP 35, AC 15, Disposition neutral
"
27,"Nixies (sprite)",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 27. Nixies (sprite)

*This creature’s vital stats are HD 1d4, HP 3, AC 14, disposition neutral. Their primary attributes are physical. He can cast the following number of spells per day: water breathing at will and cast a powerful charm person spell that lasts for one year.*

**Core Stats:** HP 3, AC 14, Disposition neutral
"
28,"Orc",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 28. Orc

*This creature’s vital stats are HD 1d8, HP 5, AC 13, disposition law/evil. Their primary attributes are physical. He carries 6 gold in coin.*

**Core Stats:** HP 5, AC 13, Disposition law/evil
"
29,"Otter, giant",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 29. Otter, giant

*This creature’s vital stats are HD 4d8, HP 21, AC 15, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 21, AC 15, Disposition neutral
"
30,"Owlbear (small)",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 30. Owlbear (small)

*These creatures’ vital stats are HD 3d10, HP 19, AC 15, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 19, AC 15, Disposition neutral
"
31,"Rats, River (giant)",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 31. Rats, River (giant)

*This creature’s vital stats are HD 1d4, HP 2, AC 13, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 2, AC 13, Disposition neutral
"
32,"Rivermen",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 32. Rivermen

*This creature’s vital stats are HD 1d8, HP 5, AC 11, disposition chaos/neutral. Their primary attributes are physical. His secondary skill is Nautical Ability, which is described in the CZY Appendix.*

**Core Stats:** HP 5, AC 11, Disposition chaos/neutral
"
33,"Snake, poisonous",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 33. Snake, poisonous

*This creature’s vital stats are HD 1d6, HP 4, AC 14, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 4, AC 14, Disposition neutral
"
34,"Snake, poisonous (deadly)",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 34. Snake, poisonous (deadly)

*This creature’s vital stats are HD 2d6, HP 7, AC 14, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 7, AC 14, Disposition neutral
"
35,"Spider, Giant (medium-sized)",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 35. Spider, Giant (medium-sized)

*This creature’s vital stats are HD 3d8, HP 15, AC 15, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 15, AC 15, Disposition neutral
"
36,"Stirges",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 36. Stirges

*This creature’s vital stats are HD 1d6, HP 3, AC 16, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 3, AC 16, Disposition neutral
"
37,"Thieves",classed,"attributes-physical-phrase","### 37. Thieves

*This creature’s vital stats are HP 4, AC 14, disposition variable. Their primary attributes are physical. He carries 6 gold in coin.*

**Core Stats:** HP 4, AC 14, Disposition variable
"
38,"Turtle, Huge Snapping",classed,"raw-hd-and-hp;attributes-physical-phrase","### 38. Turtle, Huge Snapping

*These creatures’ vital stats are HD 5d8, HP 20, AC 19, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 20, AC 19, Disposition neutral
"
39,"Wolf, Grey",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 39. Wolf, Grey

*This creature’s vital stats are HD 2d8, HP 9, AC 13, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 9, AC 13, Disposition neutral
"
40,"Wolverine (small, normal)",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 40. Wolverine (small, normal)

*This creature’s vital stats are HD 3d8, HP 16, AC 15, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 16, AC 15, Disposition neutral
"
41,"Grimlock Manface (Losel Chieftain)",classed,"raw-hd-and-hp;attributes-physical-phrase;named-ranked-title","### 41. Grimlock Manface (Losel Chieftain)

*This creature’s vital stats are HD 4d8+4, HP 32, AC 16, disposition neutral/evil. Their primary attributes are physical. He wears splint mail armor and carries *wields a +1 heavy flail [specialized; +6 ""to hit""; 1d10+6 damage]—+1 bonus*, lasso*, belt axe, and dagger, and 125 gold in coin.*

**Core Stats:** HP 32, AC 16, Disposition neutral/evil
"
