type,name,line,raw_quantity,hp,ac,hd,level,xp,snippet,source
InlineEncounter,Bandits,409,"x 1-4",,,,,,"**01-08** **Bandits, x 1-4** and **1 Bandit Lieutenant.** These evil humans prowl the Old Castle Track seeking to ambush travelers.",CnC Docs/02 CZ Ruins Mouths of Madness.md
InlineEncounter,Brigands,411,"x 7-12",,,,,,"**09-15** **Brigands, x 7-12 (includes 1 serjeant).** These humans are either mounted or afoot, out pretending to be something they are not (soldiers, hunters, trappers, etc).",CnC Docs/02 CZ Ruins Mouths of Madness.md
InlineEncounter,Black bear (small),413,"x 1",,,,,,"**16-20** **Black bear (small) x 1**. Roll on Sub-table 1. and Sub-table 2. for activity and condition.",CnC Docs/02 CZ Ruins Mouths of Madness.md
InlineEncounter,Bugbears,415,"x 1-3",,,,,,"**21-25** **Bugbears, x 1-3.** Out hunting.",CnC Docs/02 CZ Ruins Mouths of Madness.md
InlineEncounter,Gnolls,417,"x 2",,,,,,"**26-30** **Gnolls, x 2.** Out patrolling, their camp located in the depths of the Little Hillwood.",CnC Docs/02 CZ Ruins Mouths of Madness.md
InlineEncounter,Goblin patrol,419,"x 2-8",,,,,,"**31-45** **Goblin patrol, x 2-8.** Representing a local goblin tribe.",CnC Docs/02 CZ Ruins Mouths of Madness.md
InlineEncounter,Hobgoblins,421,"x 1-4",,,,,,"**46-50** **Hobgoblins, x 1-4.** Hunters and robbers out for game and loot.",CnC Docs/02 CZ Ruins Mouths of Madness.md
InlineEncounter,Losel patrol,423,"x 2-5",,,,,,"**51-60** **Losel patrol, x 2-5.** Brachiating above (will stay high and away from trail) patrolling territory.",CnC Docs/02 CZ Ruins Mouths of Madness.md
InlineEncounter,Snake (poisonous),425,"x 1",,,,,,"**61-70 Snake, poisonous, x 1.** Slithering through the underbrush and across the track; an encounter indicating that the reptile has either been stepped on or near enough to provoke attack; otherwise it slithers away.",CnC Docs/02 CZ Ruins Mouths of Madness.md
InlineEncounter,Stirges,427,"x 3-6",,,,,,"**71-80** **Stirges, x 3-6.** Seeking for warm blood to nourish upon.",CnC Docs/02 CZ Ruins Mouths of Madness.md
InlineEncounter,Wolf pack,431,"x 2-5",,,,,,"**91-98** **Wolf pack, x 2-5.** Roll on Sub-table 1. and Sub-table 2. for activity and condition.",CnC Docs/02 CZ Ruins Mouths of Madness.md
ExplicitStatBlock,Bandit Lieutenant,695,,14,14,,2,10+2,"**Bandit, Lieutenant:** _(They are 2nd level, neutral evil, human fighters whose vital statistics are HP 14, AC 14. Their primary attributes are physical. They have scale mail, longsword [specialized; +3 \"to hit\"; 1d8+1 damage], short bow [+2 \"to hit\"; 1d6 damage], arrows x12, and 1d6 gp. XP: 10+2)_",CnC Docs/02 CZ Ruins Mouths of Madness.md
ExplicitStatBlock,Bear black,701,,15,13,3d8,,40+3,"**Bear, black:** _(This neutral animal's vital stats are HD 3d8, HP 15, AC 13, MV 40 ft. Its saves are physical. It attacks with two paws for 1d4+1 damage and a bite for 1d6+1 damage. XP: 40+3)_",CnC Docs/02 CZ Ruins Mouths of Madness.md
ExplicitStatBlock,Brigand crossbowmen,705,,5,13,,1,7+1,"**Brigand, crossbowmen:** _(They are 1st level, neutral evil, human fighters whose vital stats are HP 5, AC 13. Their primary attributes are physical. They have studded leather armor, longsword [+1 \"to hit\"; 1d8 damage], heavy crossbow [specialized; +2 \"to hit\"; 1d10+1 damage; 1 attack per 2 rounds], 8 bolts, dagger, and 1d6 gp. XP: 7+1)_",CnC Docs/02 CZ Ruins Mouths of Madness.md
ExplicitStatBlock,Brigand flailmen,707,,5,14,,1,7+1,"**Brigand, flailmen:** _(They are 1st level, neutral evil, human fighters whose vital stats are HP 5, AC 14. Their primary attributes are physical. They have scale mail, heavy flail [specialized; +2 \"to hit\"; 1d10+1 damage], belt axe, dagger, and 3d6 sp. XP: 7+1)_",CnC Docs/02 CZ Ruins Mouths of Madness.md
ExplicitStatBlock,Brigand Serjeant,709,,14,15,,2,10+2,"**Brigand, Serjeant:** _(They are 2nd level, neutral evil, human fighters whose vital statistics are HP 14, AC 15. Their primary attributes are physical. They have chain hauberk, shield, longsword [specialized; +3 \"to hit\"; 1d8+1 damage], light crossbow [+1 \"to hit\"; 1d6 damage], bolts x12, and 2d8 gp. XP: 10+2)_",CnC Docs/02 CZ Ruins Mouths of Madness.md
ExplicitStatBlock,Elf Wood bowman,713,,8,12,1d10,1,13+1,"**Elf, Wood, bowman:** _(They are 1st level, chaotic neutral fighters whose vital stats are HD 1d10, HP 8, AC 12, MV 30 ft. ... XP: 13+1)_",CnC Docs/02 CZ Ruins Mouths of Madness.md
ExplicitStatBlock,Ghoul,719,,10,14,2d8,,30+2,"**Ghoul:** _(These chaotic evil undeads' vital stats are HD 2d8, HP 10, AC 14, MV 30 ft. ... XP: 30+2)_",CnC Docs/02 CZ Ruins Mouths of Madness.md
ExplicitStatBlock,Goblin leader corporal,725,,15,16,3d6+2,,20+3,"**Goblin, leader (corporal):** _(These lawful evil humanoids' vital stats are HD 3d6+2, HP 15, AC 16, MV 20 ft. ... XP: 20+3)_",CnC Docs/02 CZ Ruins Mouths of Madness.md
ExplicitStatBlock,Losel,737,,10,14,1d8+4,,18+1,"**Losel:** _(These neutral evil humanoids' vital stats are HD 1d8+4, HP 10, AC 14, MV 30 ft., 40 ft. climb. ... XP: 18+1)_",CnC Docs/02 CZ Ruins Mouths of Madness.md
ExplicitStatBlock,Man woodsman,739,,"5 per HD",12,d8,"0-2","3+1;5+1;10+2","**Man, woodsman (fisherman/hunter/trapper/woodcutter):** _(They are 0th-2nd level, neutral, human fighters whose vital stats are HD d8, HP 5 per HD, AC 12. Their primary attributes are physical. ... XP: 3+1, 5+1, 10+2)_",CnC Docs/02 CZ Ruins Mouths of Madness.md
